name,raw_json_sha256,schema,mode,warmup,iterations,wall_nanoseconds,maximum_absolute_error,weight_h2d_bytes,activation_h2d_bytes,device_to_host_bytes,state_h2d_bytes,state_d2h_bytes,kda_output_d2h_bytes,router_logit_d2h_bytes,inter_layer_hidden_h2d_bytes,inter_layer_hidden_d2h_bytes,final_hidden_d2h_bytes,layer_front_calls,layer_tail_calls,state_seeds,state_continuations,state_publications,state_invalidations,prepared_seeds,prepared_consumes,prepared_discards,prepared_invalidations,resident_weight_bytes,peak_device_bytes,k3x_root_sha256,route_expert_ids,route_contribution_sha256,final_output_sha256,final_state_sha256,total_wall_nanoseconds,front_wall_nanoseconds,front_device_nanoseconds,route_wall_nanoseconds,tail_wall_nanoseconds,tail_device_nanoseconds,unattributed_wall_nanoseconds,front_kda_device_nanoseconds,front_route_device_nanoseconds,front_unclassified_device_nanoseconds,tail_ffn_device_nanoseconds,tail_unclassified_device_nanoseconds
host-round-trip,795039a4a1d7cba54dd70061bc00e18c455955a79fbae4895ea50d41dbef758f,k3x-official-two-layer-operation-attribution-v1,host-round-trip,3,20,"[105214297,101161404,103737043,104806846,104824512,103868384,101432722,103735669,102136015,103534137,104122987,101151894,100541046,100219611,103278345,100991294,101998168,102157295,100049678,101768256]",0.000976562,0,13372672,13268992,13025280,13025280,114688,14336,57344,57344,57344,0,0,46,46,46,0,92,92,0,0,3640872960,3655794240,2a0139cdfaddb57c95d4d50462ed79ff56b248e2946f49c773ddbb1e3c31913b,"[[348,65,544,421,379,753,839,423,169,60,818,629,375,225,200,178],[229,172,494,894,779,606,75,648,277,634,755,339,481,230,16,699],[824,11,302,546,16,211,176,192,501,692,511,887,442,558,810,556],[474,234,691,465,446,246,247,472,228,887,318,634,401,603,50,8]]","[""98590fcff166fedac228362f831a63431ab5c87a75db4d44163ac93b9dedd806"",""2d25eb5a15c994b4ec00c8fab348b0f288497f829300b7d93d60520d6addd1cb"",""83669adeb410fb8bba30e3a74c0745c9d44b10c7112f6d42be926cadc77da5da"",""ad846c6fd0c13251b0b65d371f09d7f3cf8c9798e531894d5f9dfdba2e7f5fea""]","[""6a06fa47142a5e65ed8f7e29251b7818855cb4a7cb4645cf93d72611c81f0b42"",""b1ff6593e0852ed1745bdb74d7a19184d462e75692551da237a1aee0d0fd86b7""]","[""5f0ce4680ca343648838ef274cc3f8526c5174eba9922b44b8f37715c2901073"",""fb56f028a5c024f14dcde396bd257db8e871348e2f994f13c1cf1821c589e382""]",2050697877,0,0,0,0,0,2050697877,0,0,0,0,0
device-closure,7063c03c700e3d9a0a6bc0516a92a1cdf894c56dd9ea3fa20ba317301da14315,k3x-official-two-layer-operation-attribution-v1,device-closure,3,20,"[116900827,116827943,114885971,116152708,116150105,116739104,114109526,115442676,114150494,115257408,114971639,116104309,116490571,115296538,115446230,116049550,116555475,115272377,116517756,114699429]",0.00195312,0,13143296,13096960,13025280,13025280,0,14336,0,0,57344,4,4,46,46,46,0,92,92,0,0,3640958976,3656052288,2a0139cdfaddb57c95d4d50462ed79ff56b248e2946f49c773ddbb1e3c31913b,"[[348,65,544,421,379,753,839,423,169,60,818,629,375,225,200,178],[229,172,494,894,779,606,75,648,277,634,755,339,481,230,16,699],[824,11,302,546,16,211,176,192,501,692,511,887,442,558,810,556],[474,234,691,465,446,246,247,472,228,887,318,634,401,603,50,8]]","[""c47a60f92bdc021bec50bfed86eedd52f93d3e2ec90a511bdbd4140bac952642"",""8c24e22858cd45dfcd1b1d5d554ac294d9beef94494b15de43b9dc04f0e27741"",""f09be698f44d1fe462ef5561ead00fa68cdc673c034bc50cc4db19491b26a5a5"",""c24a55bab7c5c9b993325c1b99eecc0fd6bfedfa4f2df9561081f6831e9ffd53""]","[""5a723cc6b55a01abdbf2b5b8c271bd566c6affb64bf21a0c8f9f7c91fcb34f9c"",""7e6e773c31b93de857d6dd8346d0932f21df358ee3a7c5a88abab6e9bfd01741""]","[""95088835bded2939f6b00566c755c445410d6756d990646aaeb0bc1b9e55ad3e"",""f376431ee492a66d8214b53e32e2e5d3768f437a16eca2e1d0d096ac6698ad99""]",2313989070,1471563527,1108425824,824396,841047947,633970496,553200,726915840,381509984,0,633970496,0
