name,raw_json_sha256,artifact_kind,repository,resolved_revision,case,weight_mode,token_semantics,routing_semantics,full_transformer_layer,quality_measured,k3x_root_sha256,warmups,iterations,selected_union,route_a,route_b,route_a_contributions,route_b_contributions,output_sha256,state_sha256,source_bytes,k3x_bytes,cold_latency_nanoseconds,cold_kernel_nanoseconds,cold_weight_h2d_bytes,cold_bf16_weight_h2d_bytes,cold_f32_weight_h2d_bytes,cold_mxfp4_weight_h2d_bytes,latency_nanoseconds_p05,latency_nanoseconds_median,latency_nanoseconds_p95,kernel_nanoseconds,orchestration_nanoseconds,weight_h2d_bytes,bf16_weight_h2d_bytes,f32_weight_h2d_bytes,mxfp4_weight_h2d_bytes,activation_h2d_bytes,device_to_host_bytes,official_kda_calls,official_kda_kernel_launches,official_kda_state_h2d_bytes,official_kda_state_d2h_bytes,official_kda_output_d2h_bytes,resident_weight_bytes,peak_resident_weight_bytes,weight_cache_hits,weight_cache_misses,weight_cache_bypasses,device_allocation_count,stream_synchronization_count,peak_vram_bytes,process_peak_rss_bytes,reader_read_calls,reader_requested_bytes,reader_completed_bytes,reader_storage_submitted_bytes,reader_storage_completed_bytes,maximum_absolute_error,all_finite,validation,cold_immutable_validation_scans,cold_immutable_validation_hits,cold_immutable_validation_bytes,cold_immutable_validation_nanoseconds,immutable_validation_scans,immutable_validation_hits,immutable_validation_bytes,immutable_validation_nanoseconds,state_transfer,cold_official_kda_device_state_seeds,cold_official_kda_device_state_continuations,cold_official_kda_device_state_publications,cold_official_kda_device_state_invalidations,official_kda_device_state_seeds,official_kda_device_state_continuations,official_kda_device_state_publications,official_kda_device_state_invalidations,route_preparation,cold_official_moe_route_prepare_calls,cold_official_moe_route_prepare_kernel_launches,cold_official_moe_router_logit_d2h_bytes,cold_official_moe_prepared_seeds,cold_official_moe_prepared_consumes,cold_official_moe_prepared_discards,cold_official_moe_prepared_invalidations,official_moe_route_prepare_calls,official_moe_route_prepare_kernel_launches,official_moe_router_logit_d2h_bytes,official_moe_prepared_seeds,official_moe_prepared_consumes,official_moe_prepared_discards,official_moe_prepared_invalidations,official_moe_prepared_slot_bytes
ab-incremental-device-state-host-route,82ddb5c5e4b185b3f79f80af366c78a2bf32bb5e3063056509c68085270d0095,official_kimi_k3_kda_layer,moonshotai/Kimi-K3,9f62e4e9fffbd0a83ddd60e1c209d828994b3569,ab-incremental,resident,false,true,true,false,49e70d84f358c81616314597ccd72a432c39f59473a01bc56efdfafdf87be22a,3,20,"[348,65,544,421,379,753,839,423,169,60,818,629,375,225,200,178,824,11,302,546,16,211,176,192,501,692,511,887,442,558,810,556]","[348,65,544,421,379,753,839,423,169,60,818,629,375,225,200,178]","[824,11,302,546,16,211,176,192,501,692,511,887,442,558,810,556]","[0.0663938298821,0.0659320950508,0.0644796267152,0.0642973929644,0.0630678981543,0.0619399026036,0.0624201782048,0.0614108406007,0.0625895112753,0.0615072026849,0.0615505725145,0.0608924403787,0.0613194294274,0.0615112371743,0.0605108998716,0.0601769424975]","[0.0654255226254,0.0646293908358,0.0630557835102,0.0630771294236,0.0620013959706,0.0637269094586,0.0632845759392,0.0647095814347,0.0620583221316,0.0615770071745,0.0610483363271,0.0616112500429,0.0635702237487,0.0603200010955,0.0603922046721,0.0595123693347]",3bc173301781ec02502c29a1d8ac2951139ba51cfef593f858bbac65cd748617,5f0ce4680ca343648838ef274cc3f8526c5174eba9922b44b8f37715c2901073,1829256704,1829310720,308413711,32617216,1816322048,1254169600,640000,561512448,63435171,64210407,65424822,631033248,657544581,0,0,0,0,133726720,132546560,40,640,130252800,130252800,1146880,1816322048,1816322048,2720,0,0,0,80,1824612416,2194264064,440,3658513408,3658513408,3658513408,3658513408,0.00048828125,true,admission,14,14,887800832,49829386,0,560,0,0,device,1,1,1,0,20,20,20,0,host,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab-incremental-device-state-device-route,67b9d9ee76e9e882377be7ea3d8e0a0014a66e42b75f852781f6cb1a297c2724,official_kimi_k3_kda_layer,moonshotai/Kimi-K3,9f62e4e9fffbd0a83ddd60e1c209d828994b3569,ab-incremental,resident,false,true,true,false,49e70d84f358c81616314597ccd72a432c39f59473a01bc56efdfafdf87be22a,3,20,"[348,65,544,421,379,753,839,423,169,60,818,629,375,225,200,178,824,11,302,546,16,211,176,192,501,692,511,887,442,558,810,556]","[348,65,544,421,379,753,839,423,169,60,818,629,375,225,200,178]","[824,11,302,546,16,211,176,192,501,692,511,887,442,558,810,556]","[0.0663938298821,0.0659320950508,0.0644796267152,0.0642973929644,0.0630678981543,0.0619399026036,0.0624201782048,0.0614108406007,0.0625895112753,0.0615072026849,0.0615505725145,0.0608924403787,0.0613194294274,0.0615112371743,0.0605108998716,0.0601769424975]","[0.0654255226254,0.0646293908358,0.0630557835102,0.0630771294236,0.0620013959706,0.0637269094586,0.0632845759392,0.0647095814347,0.0620583221316,0.0615770071745,0.0610483363271,0.0616112500429,0.0635702237487,0.0603200010955,0.0603922046721,0.0595123693347]",3bc173301781ec02502c29a1d8ac2951139ba51cfef593f858bbac65cd748617,5f0ce4680ca343648838ef274cc3f8526c5174eba9922b44b8f37715c2901073,1829256704,1829310720,323886521,42373472,1829210112,1267057664,640000,561512448,62450616,63767134,64669895,803268352,471945431,0,0,0,0,133726720,132689920,40,640,130252800,130252800,1146880,1829210112,1829210112,2880,0,0,0,120,1837618752,2193960960,440,3658513408,3658513408,3658513408,3658513408,0.00048828125,true,admission,18,18,900688896,49419793,0,720,0,0,device,1,1,1,0,20,20,20,0,device,2,4,7168,2,2,0,0,40,80,143360,40,40,0,0,57344
