name,raw_json_sha256,schema,mode,warmup,iterations,wall_nanoseconds,maximum_absolute_error,weight_h2d_bytes,activation_h2d_bytes,device_to_host_bytes,state_h2d_bytes,state_d2h_bytes,kda_output_d2h_bytes,router_logit_d2h_bytes,inter_layer_hidden_h2d_bytes,inter_layer_hidden_d2h_bytes,final_hidden_d2h_bytes,layer_front_calls,layer_tail_calls,state_seeds,state_continuations,state_publications,state_invalidations,prepared_seeds,prepared_consumes,prepared_discards,prepared_invalidations,resident_weight_bytes,peak_device_bytes,k3x_root_sha256,route_expert_ids,route_contribution_sha256,final_output_sha256,final_state_sha256,total_wall_nanoseconds,front_wall_nanoseconds,front_device_nanoseconds,route_wall_nanoseconds,tail_wall_nanoseconds,tail_device_nanoseconds,unattributed_wall_nanoseconds
host-round-trip,b347813181d23c09f6e1b79334d34a89737b10f8e5e334d0c97754208e40ec84,k3x-official-two-layer-attribution-v1,host-round-trip,3,20,"[99456277,103227516,101546821,101780058,101785023,103382125,98674783,98798915,98381870,101040976,98206188,95310862,95743987,95678449,97751629,97283839,97752001,100811600,100925686,99316205]",0.000976562,0,13372672,13268992,13025280,13025280,114688,14336,57344,57344,57344,0,0,46,46,46,0,92,92,0,0,3640872960,3655794240,2a0139cdfaddb57c95d4d50462ed79ff56b248e2946f49c773ddbb1e3c31913b,"[[348,65,544,421,379,753,839,423,169,60,818,629,375,225,200,178],[229,172,494,894,779,606,75,648,277,634,755,339,481,230,16,699],[824,11,302,546,16,211,176,192,501,692,511,887,442,558,810,556],[474,234,691,465,446,246,247,472,228,887,318,634,401,603,50,8]]","[""98590fcff166fedac228362f831a63431ab5c87a75db4d44163ac93b9dedd806"",""2d25eb5a15c994b4ec00c8fab348b0f288497f829300b7d93d60520d6addd1cb"",""83669adeb410fb8bba30e3a74c0745c9d44b10c7112f6d42be926cadc77da5da"",""ad846c6fd0c13251b0b65d371f09d7f3cf8c9798e531894d5f9dfdba2e7f5fea""]","[""6a06fa47142a5e65ed8f7e29251b7818855cb4a7cb4645cf93d72611c81f0b42"",""b1ff6593e0852ed1745bdb74d7a19184d462e75692551da237a1aee0d0fd86b7""]","[""5f0ce4680ca343648838ef274cc3f8526c5174eba9922b44b8f37715c2901073"",""fb56f028a5c024f14dcde396bd257db8e871348e2f994f13c1cf1821c589e382""]",1986821572,0,0,0,0,0,1986821572
device-closure,bb7083470ffb086922f67afd4ca832c64a3dc61714bf36b33e6048bea3b72602,k3x-official-two-layer-attribution-v1,device-closure,3,20,"[112829173,113271328,110701472,108802330,107019698,112806473,112193524,110419917,109915550,110135587,109639235,107966048,114098378,116005362,112973585,112417721,108518254,109134973,106969304,113141600]",0.00195312,0,13143296,13096960,13025280,13025280,0,14336,0,0,57344,4,4,46,46,46,0,92,92,0,0,3640958976,3656052288,2a0139cdfaddb57c95d4d50462ed79ff56b248e2946f49c773ddbb1e3c31913b,"[[348,65,544,421,379,753,839,423,169,60,818,629,375,225,200,178],[229,172,494,894,779,606,75,648,277,634,755,339,481,230,16,699],[824,11,302,546,16,211,176,192,501,692,511,887,442,558,810,556],[474,234,691,465,446,246,247,472,228,887,318,634,401,603,50,8]]","[""c47a60f92bdc021bec50bfed86eedd52f93d3e2ec90a511bdbd4140bac952642"",""8c24e22858cd45dfcd1b1d5d554ac294d9beef94494b15de43b9dc04f0e27741"",""f09be698f44d1fe462ef5561ead00fa68cdc673c034bc50cc4db19491b26a5a5"",""c24a55bab7c5c9b993325c1b99eecc0fd6bfedfa4f2df9561081f6831e9ffd53""]","[""5a723cc6b55a01abdbf2b5b8c271bd566c6affb64bf21a0c8f9f7c91fcb34f9c"",""7e6e773c31b93de857d6dd8346d0932f21df358ee3a7c5a88abab6e9bfd01741""]","[""95088835bded2939f6b00566c755c445410d6756d990646aaeb0bc1b9e55ad3e"",""f376431ee492a66d8214b53e32e2e5d3768f437a16eca2e1d0d096ac6698ad99""]",2218929710,1396459804,1051427488,780727,821217541,601154688,471638
