name,raw_json_sha256,artifact_kind,repository,resolved_revision,token_semantics,routing_semantics,full_moe_layer,layer_id,expert_id,weight_mode,k3x_root_sha256,ordered_sha256,expert_payload_bytes,input_elements,output_elements,warmup,iterations,cpu_oracle_nanoseconds,cold_latency_nanoseconds,cold_kernel_nanoseconds,cold_weight_h2d_bytes,cold_activation_h2d_bytes,cold_device_to_host_bytes,latency_nanoseconds_median,latency_nanoseconds_p05,latency_nanoseconds_p95,kernel_nanoseconds,weight_h2d_bytes,activation_h2d_bytes,device_to_host_bytes,device_allocation_count,stream_synchronization_count,weight_cache_hits,weight_cache_misses,weight_cache_bypasses,resident_weight_bytes,peak_resident_weight_bytes,peak_vram_bytes,maximum_absolute_error,all_finite
transient,3b39610b5f5b6f4cfd5ec1da1bc3588e00c0af62f58438c81a7f9b3357093518,official_kimi_k3_expert,moonshotai/Kimi-K3,9f62e4e9fffbd0a83ddd60e1c209d828994b3569,false,false,false,1,0,transient,d585d283325e13e1316a0194c2d6274dd89ef75a28b96b02f02733290b7658be,4e23bd960dfb5e8b10def10e12a94bac1119500f72918698986bd332d56d33ff,17547264,3584,3584,3,20,193429551,7122628,1920992,17547264,14336,14336,2508377,1865439,2649090,6309888,350945280,286720,286720,0,20,0,0,0,0,0,5914624,3.0267983675e-09,true
resident,79c935869226108431f391bb61402e10b61a616493720bac75fc545512cc30bf,official_kimi_k3_expert,moonshotai/Kimi-K3,9f62e4e9fffbd0a83ddd60e1c209d828994b3569,false,false,false,1,0,resident,d585d283325e13e1316a0194c2d6274dd89ef75a28b96b02f02733290b7658be,4e23bd960dfb5e8b10def10e12a94bac1119500f72918698986bd332d56d33ff,17547264,3584,3584,3,20,185078215,7748006,1742656,17547264,14336,14336,331868,319489,366599,2692992,0,286720,286720,0,20,60,0,0,17547264,17547264,23461888,3.0267983675e-09,true
